,County,Cluster
0,Delaware,0
1,Chester,0
2,Beaver,1
3,Bucks,0
4,Philadelphia,0
5,Washington,1
6,Cumberland,0
7,Northumberland,1
8,Montgomery,0
9,Pike,0
10,Armstrong,3
11,Carbon,4
12,Centre,0
13,Bradford,1
14,Dauphin,0
15,Lehigh,0
16,Blair,1
17,Allegheny,0
18,Erie,4
19,York,0
20,Lebanon,0
21,Monroe,3
22,Franklin,0
23,Lancaster,0
24,Lycoming,1
25,Berks,0
26,Mifflin,1
27,Westmoreland,1
28,Crawford,3
29,Mercer,5
30,Luzerne,4
31,Susquehanna,3
32,Elk,1
33,Snyder,0
34,Lackawanna,1
35,Lawrence,1
36,Wayne,1
37,Juniata,2
38,Perry,3
39,Northampton,0
40,Adams,0
41,Cambria,1
42,Schuylkill,4
43,Clearfield,1
44,Tioga,1
45,Columbia,4
46,Fulton,3
47,Wyoming,1
48,Butler,1
49,Somerset,1
50,Fayette,3
51,Indiana,3
52,Jefferson,1
53,Clarion,1
54,Bedford,2
55,Greene,1
56,Huntingdon,3
57,Union,0
58,Montour,1
59,Warren,1
60,Clinton,4
61,Venango,1
62,Potter,1
63,Sullivan,1
