County,Year,% Naloxone Admin,% OD Survival,Opioid Overdoses,3+ Prescribers and 3+ Dispensers,Average Daily MME > 50,Overlapping Opioid/Benzodiazepine Prescriptions,Total Drug Dispensation,Total Prescriptions,Incidents - Fentanyl,Incidents - Heroin,Incidents - Opium,Arrests - Fentanyl,Arrests - Heroin,Arrests - Opium,Drug Quantity - Fentanyl,Drug Quantity - Heroin,Drug Quantity - Opium,%Incidents Fentanyl,%Arrests Fentanyl,%Quantity Fentanyl,Drug Take-Back Sites,Drug Treatment Locations,County Population,County Percent Change Since 2010
Delaware,2018,0.65625,0.703125,64,734.0,28173.0,28444.0,327722.0,314059.0,5.0,144.0,0.0,3.0,164.0,0.0,0.02077,0.538028,0.0,3.3557046979865772,1.7964071856287425,3.716906646050989,55,30,576830,0.032
Delaware,2022,0.5319148936170213,0.7446808510638298,47,159.0,7202.0,7647.0,111028.0,109043.0,32.0,61.0,2.0,51.0,72.0,2.0,39.671735,0.523227,1.002,33.68421052631579,40.8,96.29771972020656,55,30,576830,0.032
Delaware,2019,0.717948717948718,0.6153846153846154,39,626.0,22567.0,24314.0,293151.0,279401.0,15.0,173.0,0.0,19.0,198.0,0.0,5.27221,5.50115,0.0,7.9787234042553195,8.755760368663594,48.937471689426516,55,30,576830,0.032
Delaware,2020,0.5555555555555556,0.5873015873015873,63,391.0,17989.0,20672.0,263852.0,242035.0,23.0,159.0,0.0,27.0,202.0,0.0,0.16478,1.270373,0.0,12.637362637362637,11.790393013100436,11.481702647731638,55,30,576830,0.032
Delaware,2021,0.5714285714285714,0.6938775510204082,49,398.0,15777.0,18798.0,248143.0,229790.0,27.0,122.0,2.0,39.0,150.0,2.0,17.058239999999998,4.397683000000001,1.2e-05,17.880794701986755,20.418848167539267,79.50359655731619,55,30,576830,0.032
Chester,2018,0.8133971291866029,0.7511961722488039,209,560.0,22058.0,21819.0,225708.0,245441.0,5.0,76.0,2.0,6.0,64.0,2.0,1.09655,0.106369,0.00025,6.024096385542169,8.333333333333332,91.1384851172196,23,25,534413,0.071
Chester,2022,0.5522388059701493,0.7313432835820896,67,133.0,6292.0,6705.0,83552.0,90596.0,23.0,43.0,1.0,26.0,49.0,0.0,0.06926299999999999,0.884424,0.00014,34.32835820895522,34.66666666666667,7.261589365786457,23,25,534413,0.071
Chester,2019,0.7257142857142858,0.8057142857142857,175,453.0,17515.0,19100.0,200016.0,222404.0,3.0,78.0,2.0,3.0,59.0,1.0,0.0025099999999999996,0.265619,0.0002,3.614457831325301,4.761904761904762,0.9354188328507167,23,25,534413,0.071
Chester,2020,0.7919463087248322,0.8456375838926175,149,347.0,14070.0,17022.0,183784.0,198079.0,27.0,98.0,1.0,26.0,106.0,1.0,0.11560200000000001,0.285652,1e-05,21.428571428571427,19.548872180451127,28.809462099764744,23,25,534413,0.071
Chester,2021,0.5135135135135135,0.6486486486486487,74,329.0,13103.0,16407.0,183523.0,190235.0,19.0,75.0,0.0,22.0,79.0,0.0,0.07579,2.53944,0.0,20.212765957446805,21.782178217821784,2.898024265552169,23,25,534413,0.071
Beaver,2018,0.6851851851851852,0.8148148148148148,54,289.0,8946.0,10937.0,126963.0,128907.0,0.0,12.0,0.0,0.0,17.0,0.0,0.0,0.07301,0.0,0.0,0.0,0.0,16,11,168215,-0.014
Beaver,2019,0.6511627906976745,0.6744186046511628,43,259.0,6730.0,8473.0,109034.0,112865.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,0.1648,0.0,0.0,0.0,0.0,16,11,168215,-0.014
Beaver,2022,0.6363636363636364,0.6363636363636364,22,64.0,2286.0,2800.0,45632.0,45415.0,6.0,19.0,0.0,9.0,23.0,0.0,0.1468,0.21592,0.0,24.0,28.125,40.471989413321566,16,11,168215,-0.014
Beaver,2020,0.71875,0.78125,32,162.0,5463.0,6907.0,99292.0,98937.0,3.0,22.0,0.0,5.0,34.0,0.0,1.101,0.16786,0.0,12.0,12.82051282051282,86.77080213735164,16,11,168215,-0.014
Beaver,2021,0.6086956521739131,0.5652173913043478,23,159.0,4916.0,6308.0,94629.0,95304.0,0.0,30.0,0.0,0.0,35.0,0.0,0.0,0.40237,0.0,0.0,0.0,0.0,16,11,168215,-0.014
Bucks,2018,0.7416520210896309,0.804920913884007,569,885.0,33958.0,35070.0,358920.0,367771.0,1.0,27.0,0.0,0.0,23.0,0.0,0.006,1.2093749999999999,0.0,3.571428571428571,0.0,0.4936747917309473,44,40,646538,0.034
Bucks,2022,0.6907216494845361,0.8144329896907216,97,217.0,10617.0,11196.0,138988.0,142866.0,29.0,30.0,1.0,27.0,28.0,0.0,4.806345,0.027290000000000002,1.0,48.333333333333336,49.09090909090909,82.39022496265194,44,40,646538,0.034
Bucks,2019,0.6821192052980133,0.8278145695364238,453,791.0,27775.0,30296.0,321204.0,336542.0,7.0,43.0,0.0,10.0,47.0,0.0,0.34295,0.404651,0.0,14.000000000000002,17.543859649122805,45.873400383359574,44,40,646538,0.034
Bucks,2020,0.700374531835206,0.8014981273408239,267,469.0,24620.0,27579.0,297055.0,309771.0,24.0,34.0,1.0,29.0,40.0,1.0,0.17836,0.16562,0.00022,40.67796610169492,41.42857142857143,51.81871005229518,44,40,646538,0.034
Bucks,2021,0.6470588235294118,0.875,136,505.0,22802.0,26032.0,294697.0,303673.0,39.0,42.0,0.0,39.0,36.0,0.0,25.09144,0.052175,0.0,48.148148148148145,52.0,99.79249205016862,44,40,646538,0.034
Philadelphia,2018,0.9512195121951219,0.926829268292683,41,2383.0,86148.0,73373.0,840502.0,882493.0,11.0,130.0,1.0,10.0,129.0,1.0,14.3565,12.055901,1e-06,7.746478873239436,7.142857142857142,54.35514725241573,36,121,1603797,0.051
