Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,Choices Recovery Program,Rear 307 Laird Street,Luzerne,570-408-9320,42,079,40,40,"Wilkes Barre, Pennsylvania 18702
(41.2563695, -75.8278712)"
DDAP-Licensed Treatment Facility,"Northwestern Human Service of PA, Susquehanna Center","11 Anthra Plaza, 148 State Route 2026",Northumberland,570-644-0808,42,097,49,49,"Coal Township, Pennsylvania 17866
(40.7926715, -76.5640614)"
DDAP-Licensed Treatment Facility,Summit Medical Services,3121 Smallman Street,Allegheny,412-255-8717,42,003,2,02,"Pittsburgh, Pennsylvania 15201
(40.461051, -79.971838)"
DDAP-Licensed Treatment Facility,Turning Point Chemical Dependency Treatment Center,4849 Us Route 322 East,Venango,814-437-1750,42,121,61,61,"Franklin, Pennsylvania 16323
(41.3773661, -79.8131126)"
DDAP-Licensed Treatment Facility,Valley Forge Medical Center,1033 West Germantown Pike,Montgomery,610-539-8500,42,091,46,46,"Norristown, Pennsylvania 19403
(40.158226, -75.368069)"
DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Corry Satellite Office,45 East Washington Street,Erie,814-459-6304,42,049,25,25,"Corry, Pennsylvania 16407
(41.922448, -79.640586)"
DDAP-Licensed Treatment Facility,"Impact Counseling Service, LLC",413 North Montgomery Street,Blair,814-327-5868,42,013,7,07,"Hollidaysburg, Pennsylvania 16648
(40.429125, -78.3946363)"
DDAP-Licensed Treatment Facility,The Family Center of Thomas Jefferson University (Mater),"1233 Locust Street, 2nd Floor",Philadelphia,215-955-1954,42,101,51,51,"Philadelphia, Pennsylvania 19107
(39.9478751, -75.1618612)"
DDAP-Licensed Treatment Facility,Gateway Baden,262 Ohio River Boulevard,Beaver,724-876-0480,42,007,4,04,"Baden, Pennsylvania 15005
(40.6318867, -80.2300197)"
DDAP-Licensed Treatment Facility,The Gate House Behavioral Health Services,817 North Cherry Street,Lancaster,717-393-3215,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.0508, -76.304547)"
DDAP-Licensed Treatment Facility,Rehab After Work - Media Office,"107 Chesley Drive, Unit #5",Delaware,610-889-9939,42,045,23,23,"Media, Pennsylvania 19063
(39.914884, -75.37254)"
DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery,1133 Village Way,Westmoreland,724-837-1518,42,129,65,65,"Latrobe, Pennsylvania 15650
(40.307217, -79.39251)"
DDAP-Licensed Treatment Facility,Family and Community Service of Delaware County,600 North Olive Street,Delaware,610-566-7540,42,045,23,23,"Media, Pennsylvania 19063
(39.9241541, -75.3896551)"
DDAP-Licensed Treatment Facility,"The Frost Medical Group, LLC","10 East Sixth Avenue, Suite 200",Montgomery,610-567-0088,42,091,46,46,"Conshohocken, Pennsylvania 19428
(40.078003, -75.30204)"
DDAP-Licensed Treatment Facility,Malvern Institute,1161 East Lancaster Avenue,Chester,610-647-0330,42,029,15,15,"Berwyn, Pennsylvania 19312
(40.04357, -75.45254)"
DDAP-Licensed Treatment Facility,"Step-By-Step, Inc.","375 Linden Street, Lower Level",Lehigh,610-776-1224,42,077,39,39,"Allentown, Pennsylvania 18102
(40.605686, -75.46499)"
DDAP-Licensed Treatment Facility,Naaman Center,39 West Vine Street,Lancaster,717-394-5495,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.03622, -76.30673)"
DDAP-Licensed Treatment Facility,"St. Joseph Institute, LLC",134 Jacobs Way,Centre,814-692-4954,42,027,14,14,"Port Matilda, Pennsylvania 16870
(40.778095, -78.178276)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Gettysburg Psychiatric,334 York Street,Adams,717-337-0026,42,001,1,01,"Gettysburg, Pennsylvania 17325
(39.832157, -77.224525)"
DDAP-Licensed Treatment Facility,Clinical Outcomes Group Incorporated,437 North Centre Street,Schuylkill,570-628-6990,42,107,54,54,"Pottsville, Pennsylvania 17901
(40.68877, -76.197846)"
DDAP-Licensed Treatment Facility,White Deer Run of Williamsport,901 Westminster Drive,Lycoming,570-321-6127,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.2483502, -76.9592818)"
DDAP-Licensed Treatment Facility,"Casa De Consejeria Y Salud Integral, Inc.",616 West Lehigh Avenue,Philadelphia,215-634-3259,42,101,51,51,"Philadelphia, Pennsylvania 19133
(39.992138, -75.142801)"
PacMAT,"Allegheny Health Network, AHN Allegheny Valley North-Saxonburg",333 W. Main St Suite 101,Allegheny,724-352-8422,42,003,2,02,"Saxonburg, Pennsylvania 16056
(40.750378, -79.815708)"
DDAP-Licensed Treatment Facility,The Gate House for Women,465 West Main Street,Lancaster,717-285-2300,42,071,36,36,"Mountville, Pennsylvania 17554
(40.03766, -76.443405)"
DDAP-Licensed Treatment Facility,The Empowerment Resurrection Center,"419 Avenue Of The States, Suite 405",Delaware,610-447-1600,42,045,23,23,"Chester, Pennsylvania 19013
(39.848117, -75.359438)"
DDAP-Licensed Treatment Facility,"Dohi Center For Well-Being, LLC",1663 East Main Street,Franklin,717-473-4980,42,055,28,28,"Waynesboro, Pennsylvania 17268
(39.749693, -77.564976)"
DDAP-Licensed Treatment Facility,"Guidance For Growing, LLC","121 North Main Street, Suite 108A",Bucks,215-421-1634,42,017,9,09,"Souderton, Pennsylvania 18964
(40.310955, -75.323156)"
DDAP-Licensed Treatment Facility,White Deer Run of Allentown,"1259 South Cedar Crest Boulevard, Suite 308",Lehigh,610-432-5561,42,077,39,39,"Allentown, Pennsylvania 18103
(40.5644406, -75.5169513)"
DDAP-Licensed Treatment Facility,"Forensic Counseling Associates, LLC",1385 Pocono Boulevard,Monroe,570-476-7704,42,089,45,45,"Mount Pocono, Pennsylvania 18344
(41.123974, -75.358154)"
DDAP-Licensed Treatment Facility,The National Academy,"2000 Hamilton Street, Suite C100A",Philadelphia,215-557-8295,42,101,51,51,"Philadelphia, Pennsylvania 19130
(39.9622043, -75.1721077)"
DDAP-Licensed Treatment Facility,Caron Treatment Centers - Detox Unit,"P.O. Box 150, Galen Hall Road, Bld 3300",Berks,610-678-2332,42,011,6,06,"Wernersville, Pennsylvania 19565
(40.3132452, -76.0919794)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Re-Entry House",5401 Wayne Avenue,Philadelphia,215-438-5082,42,101,51,51,"Philadelphia, Pennsylvania 19144
(40.029571, -75.174561)"
DDAP-Licensed Treatment Facility,Penn Presbyterian Medical Center,"3910 Powelton Avenue, 5th Floor",Philadelphia,215-662-8884,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.958605, -75.200757)"
DDAP-Licensed Treatment Facility,Nulton Diagnostic & Treatment Center P.C.,214 College Park Plaza,Cambria,814-262-0025,42,021,11,11,"Johnstown, Pennsylvania 15904
(40.2779473, -78.8480949)"
DDAP-Licensed Treatment Facility,"Crawford County Drug & Alcohol Executive Commission, Inc.","920 Water Street, Suite 17",Crawford,814-724-4100,42,039,20,20,"Meadville, Pennsylvania 16335
(41.6389162, -80.1565559)"
DDAP-Licensed Treatment Facility,"Mazzitti and Sullivan Counseling Services, Inc.",3207 North Front Street,Dauphin,717-901-5652,42,043,22,22,"Harrisburg, Pennsylvania 17110
(40.2990355, -76.9038609)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc.","9815 Roosevelt Boulevard, Suite B",Philadelphia,215-342-4400,42,101,51,51,"Philadelphia, Pennsylvania 19114
(40.085983, -75.022114)"
Center of Excellence,University of Pittsburg Physicians: General Internal Medicine Clinic - Oakland,200 Lothrop Street,Allegheny,412-692-4888,42,003,2,02,"Pittsburgh, Pennsylvania 15213
(40.442839, -79.961002)"
DDAP-Licensed Treatment Facility,"New Insights II, Inc.",517 Carlisle Avenue,York,717-303-2035,42,133,67,67,"York, Pennsylvania 17404
(39.960149, -76.754443)"
DDAP-Licensed Treatment Facility,PA Treatment and Healing,"2400 Stafford Avenue, Flex Building #1",Lackawanna,570-344-5960,42,069,35,35,"Scranton, Pennsylvania 18505
(41.37736, -75.67422)"
DDAP-Licensed Treatment Facility,New Directions Treatment Services,20-22 North Sixth Avenue,Berks,610-478-0646,42,011,6,06,"West Reading, Pennsylvania 19611
(40.33637, -75.949615)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. West Chester",1030 South Concord Road,Chester,610-399-6929,42,029,15,15,"West Chester, Pennsylvania 19382
(39.935205, -75.572845)"
DDAP-Licensed Treatment Facility,"White Deer Run, Inc.",1921 West 8th Street,Erie,814-452-2991,42,049,25,25,"Erie, Pennsylvania 16505
(42.111368, -80.126659)"
DDAP-Licensed Treatment Facility,Rehab After Work,18 South George Street Suite 401,York,610-644-6464,42,133,67,67,"York, Pennsylvania 17401
(39.929477, -76.711851)"
Center of Excellence,"Total Wellness Center, LLC. Clean Slate",1020 West Lackawanna Avenue,Lackawanna,413-265-2607,42,069,35,35,"Scranton, Pennsylvania 18504
(41.414976, -75.676332)"
Center of Excellence,Penn Presbyterian Medical Center,5 N 39th Street,Philadelphia,215-573-8028 (office); 856-649-4598 (cell),42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.957159, -75.199637)"
DDAP-Licensed Treatment Facility,"Malvern Institute For Psychiatric and Alcoholic Studies, Inc.",2092 Stefko Boulevard,Northampton,610-647-0330,42,077,39,39,"Bethlehem, Pennsylvania 18017
(40.642149, -75.346417)"
DDAP-Licensed Treatment Facility,"Montgomery County MH/MR Emergency Service, Inc.",50 Beech Drive Gate #4 Building #50,Montgomery,610-279-6100,42,091,46,46,"Norristown, Pennsylvania 19403
(40.1359286, -75.355827)"
DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.","8 North Grove Street, Suite 4",Clinton,570-893-1886,42,035,18,18,"Lock Haven, Pennsylvania 17745
(41.13393, -77.443585)"
DDAP-Licensed Treatment Facility,Gaudenzia Together House,"1306 Spring Garden Street, 3rd & 4th & 6th Floors",Philadelphia,215-238-2163,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9644541, -75.145782)"
DDAP-Licensed Treatment Facility,"Foundations Medical Services, LLC",160 Hindman Road,Butler,724-431-2006,42,019,10,10,"Butler, Pennsylvania 16001
(40.9013998, -79.9416549)"
DDAP-Licensed Treatment Facility,"Discovery House, Inc.","2755 Philmont Avenue, Suite 115",Montgomery,215-947-4100,42,091,46,46,"Huntingdon Valley, Pennsylvania 19006
(40.1379904, -75.0727956)"
Center of Excellence,Pennsylvania Counseling Services - York Psychiatric,128 North George Street,York,717-316-0763 ,42,133,67,67,"York, Pennsylvania 17402
(39.964723, -76.729155)"
DDAP-Licensed Treatment Facility,Allegheny County Treatment Alternative Program,2410 Fifth Avenue,Allegheny,412-535-4343,42,003,2,02,"Pittsburgh, Pennsylvania 15213
(40.4368367, -79.9703609)"
PacMAT,"UPMC Insurance Division, Gaudenzia Community House",521 W. 7th Street,Erie,814-459-5853,42,049,25,25,"Erie, Pennsylvania 16502
(42.123977, -80.096201)"
PacMAT,"UPMC Insurance Division, Gaudenzia Crossroads Erie",414 W. 5th Street,Erie,814-459-4775,42,049,25,25,"Erie, Pennsylvania 16507
(42.1273262, -80.09535)"
DDAP-Licensed Treatment Facility,Positive Pathways,1900 Murry Avenue,Allegheny,412-465-1050,42,003,2,02,"Pittsburgh, Pennsylvania 15217
(40.435822, -79.923166)"
DDAP-Licensed Treatment Facility,Clem-Mar House Inc.,540-542 Main Street,Luzerne,570-288-0403,42,079,40,40,"Edwardsville, Pennsylvania 18704
(41.2657646, -75.9067339)"
DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.",501 East Third Street,Lycoming,570-323-7535,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.2443337, -76.9940466)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare - Altoona Outpatient,"2525 9th Avenue, Suite 2B",Blair,814-204-0066,42,013,7,07,"Altoona, Pennsylvania 16602
(40.50795, -78.40017)"
