Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
State,Commonwealth,All,25 to 34 years,2016,2016 Annual,88562,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,0 to 14 years,2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,0 to 14 years,2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Union,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
County,Northampton,All,All (12 to 100 years),2020,2020 Annual,6159,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,POINT (-75.31263726 40.754595404)
County,Pike,All,All (12 to 100 years),2017,2017 Annual,1212,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,POINT (-75.03270924 41.332571995)
County,Chester,All,All (12 to 100 years),2017,2017 Annual,9363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,15,15,42,029,39.974870557,-75.75626498,POINT (-75.75626498 39.974870557)
County,Greene,All,All (12 to 100 years),2020,2020 Annual,748,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,POINT (-80.22943817 39.854803934)
County,Clarion,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,POINT (-79.42483608 41.192791288)
County,Bucks,All,All (12 to 100 years),2019,2019 Annual,15484,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,9,09,42,017,40.335011331,-75.11291241,POINT (-75.11291241 40.335011331)
State,Commonwealth,All,All (12 to 100 years),2016,2016 Annual,295000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Allegheny,All,All (12 to 100 years),2017,2017 Annual,44329,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,2,02,42,003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
County,Lackawanna,All,All (12 to 100 years),2020,2020 Annual,5352,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,POINT (-75.61218345 41.439100643)
County,Blair,All,All (12 to 100 years),2018,2018 Annual,1582,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,POINT (-78.34907687 40.485550238)
County,Fulton,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,POINT (-78.11485045 39.924875109)
County,Schuylkill,All,All (12 to 100 years),2018,2018 Annual,1875,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,54,54,42,107,40.707512431,-76.22332385,POINT (-76.22332385 40.707512431)
County,Lancaster,All,All (12 to 100 years),2019,2019 Annual,7932,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,POINT (-76.25138768 40.045907962)
State,Commonwealth,All,All (12 to 100 years),2020,2020 Annual,299000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Juniata,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,34,34,42,067,40.534330084,-77.405775,POINT (-77.405775 40.534330084)
County,Blair,All,All (12 to 100 years),2019,2019 Annual,1959,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,POINT (-78.34907687 40.485550238)
County,Warren,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,POINT (-79.27858158 41.816752365)
County,Fulton,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,POINT (-78.11485045 39.924875109)
County,Lehigh,All,All (12 to 100 years),2018,2018 Annual,6886,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,POINT (-75.60099481 40.614647942)
County,Adams,All,All (12 to 100 years),2016,2016 Annual,1534,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
County,York,All,All (12 to 100 years),2020,2020 Annual,12080,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,POINT (-76.72576052 39.921925312)
County,Montour,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,47,47,42,093,41.028018244,-76.66470527,POINT (-76.66470527 41.028018244)
County,Somerset,All,All (12 to 100 years),2017,2017 Annual,1879,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
County,Delaware,All,All (12 to 100 years),2020,2020 Annual,11781,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,23,23,42,045,39.916578665,-75.40627712,POINT (-75.40627712 39.916578665)
County,York,All,All (12 to 100 years),2017,2017 Annual,7454,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,POINT (-76.72576052 39.921925312)
County,Cambria,All,All (12 to 100 years),2018,2018 Annual,4336,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,POINT (-78.71894174 40.491274907)
County,Dauphin,All,All (12 to 100 years),2018,2018 Annual,7530,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,22,22,42,043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
County,Jefferson,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,33,33,42,065,41.131390912,-79.00101814,POINT (-79.00101814 41.131390912)
County,Chester,All,All (12 to 100 years),2016,2016 Annual,7434,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,15,15,42,029,39.974870557,-75.75626498,POINT (-75.75626498 39.974870557)
County,Northampton,All,All (12 to 100 years),2019,2019 Annual,5214,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,POINT (-75.31263726 40.754595404)
County,Venango,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,POINT (-79.76286561 41.403412586)
County,Armstrong,All,All (12 to 100 years),2020,2020 Annual,1615,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,POINT (-79.47316899 40.815095256)
County,Franklin,All,All (12 to 100 years),2016,2016 Annual,2213,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,28,28,42,055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
County,Clarion,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,POINT (-79.42483608 41.192791288)
County,Clearfield,All,All (12 to 100 years),2019,2019 Annual,948,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,POINT (-78.47558343 41.000429002)
County,Mercer,All,All (12 to 100 years),2016,2016 Annual,2006,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,POINT (-80.26009411 41.302377765)
County,Bedford,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,5,05,42,009,40.007375364,-78.49116474,POINT (-78.49116474 40.007375364)
County,Cumberland,All,All (12 to 100 years),2018,2018 Annual,3545,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,21,21,42,041,40.167598388,-77.26866271,POINT (-77.26866271 40.167598388)
County,Snyder,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,55,55,42,109,40.771137369,-77.07255968,POINT (-77.07255968 40.771137369)
County,Elk,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,POINT (-78.64947713 41.428194161)
County,Lehigh,All,All (12 to 100 years),2017,2017 Annual,6545,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,POINT (-75.60099481 40.614647942)
County,Forest,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,27,27,42,053,41.513578758,-79.23780995,POINT (-79.23780995 41.513578758)
County,Luzerne,All,All (12 to 100 years),2020,2020 Annual,10046,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,POINT (-75.9919961 41.178364388)
County,Jefferson,All,All (12 to 100 years),2018,2018 Annual,879,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,33,33,42,065,41.131390912,-79.00101814,POINT (-79.00101814 41.131390912)
County,Fayette,All,All (12 to 100 years),2018,2018 Annual,3633,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,POINT (-79.65189635 39.919447803)
