,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
0,DDAP-Licensed Treatment Facility,Choices Recovery Program,Rear 307 Laird Street,Luzerne,570-408-9320,42,079,40,40,"{'latitude': '41.2563695', 'longitude': '-75.8278712', 'human_address': '{""address"": """", ""city"": ""Wilkes Barre"", ""state"": ""Pennsylvania"", ""zip"": ""18702""}'}",1428,453,102,30,14
1,DDAP-Licensed Treatment Facility,"Northwestern Human Service of PA, Susquehanna Center","11 Anthra Plaza, 148 State Route 2026",Northumberland,570-644-0808,42,097,49,49,"{'latitude': '40.7926715', 'longitude': '-76.5640614', 'human_address': '{""address"": """", ""city"": ""Coal Township"", ""state"": ""Pennsylvania"", ""zip"": ""17866""}'}",1494,370,54,22,60
2,DDAP-Licensed Treatment Facility,Summit Medical Services,3121 Smallman Street,Allegheny,412-255-8717,42,003,2,02,"{'latitude': '40.461051', 'longitude': '-79.971838', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15201""}'}",2158,324,163,6,40
3,DDAP-Licensed Treatment Facility,Turning Point Chemical Dependency Treatment Center,4849 Us Route 322 East,Venango,814-437-1750,42,121,61,61,"{'latitude': '41.3773661', 'longitude': '-79.8131126', 'human_address': '{""address"": """", ""city"": ""Franklin"", ""state"": ""Pennsylvania"", ""zip"": ""16323""}'}",1400,71,45,5,50
4,DDAP-Licensed Treatment Facility,Valley Forge Medical Center,1033 West Germantown Pike,Montgomery,610-539-8500,42,091,46,46,"{'latitude': '40.158226', 'longitude': '-75.368069', 'human_address': '{""address"": """", ""city"": ""Norristown"", ""state"": ""Pennsylvania"", ""zip"": ""19403""}'}",69,301,152,41,57
5,DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Corry Satellite Office,45 East Washington Street,Erie,814-459-6304,42,049,25,25,"{'latitude': '41.922448', 'longitude': '-79.640586', 'human_address': '{""address"": """", ""city"": ""Corry"", ""state"": ""Pennsylvania"", ""zip"": ""16407""}'}",2117,48,52,3,30
6,DDAP-Licensed Treatment Facility,"Impact Counseling Service, LLC",413 North Montgomery Street,Blair,814-327-5868,42,013,7,07,"{'latitude': '40.429125', 'longitude': '-78.3946363', 'human_address': '{""address"": """", ""city"": ""Hollidaysburg"", ""state"": ""Pennsylvania"", ""zip"": ""16648""}'}",1282,268,28,17,46
7,DDAP-Licensed Treatment Facility,The Family Center of Thomas Jefferson University (Mater),"1233 Locust Street, 2nd Floor",Philadelphia,215-955-1954,42,101,51,51,"{'latitude': '39.9478751', 'longitude': '-75.1618612', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19107""}'}",1069,365,190,47,13
8,DDAP-Licensed Treatment Facility,Gateway Baden,262 Ohio River Boulevard,Beaver,724-876-0480,42,007,4,04,"{'latitude': '40.6318867', 'longitude': '-80.2300197', 'human_address': '{""address"": """", ""city"": ""Baden"", ""state"": ""Pennsylvania"", ""zip"": ""15005""}'}",310,102,156,2,42
9,DDAP-Licensed Treatment Facility,The Gate House Behavioral Health Services,817 North Cherry Street,Lancaster,717-393-3215,42,071,36,36,"{'latitude': '40.0508', 'longitude': '-76.304547', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17602""}'}",1993,89,143,25,23
10,DDAP-Licensed Treatment Facility,Rehab After Work - Media Office,"107 Chesley Drive, Unit #5",Delaware,610-889-9939,42,045,23,23,"{'latitude': '39.914884', 'longitude': '-75.37254', 'human_address': '{""address"": """", ""city"": ""Media"", ""state"": ""Pennsylvania"", ""zip"": ""19063""}'}",2190,176,66,35,28
11,DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery,1133 Village Way,Westmoreland,724-837-1518,42,129,65,65,"{'latitude': '40.307217', 'longitude': '-79.39251', 'human_address': '{""address"": """", ""city"": ""Latrobe"", ""state"": ""Pennsylvania"", ""zip"": ""15650""}'}",2447,209,80,13,24
