,Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017),Pennsylvania County Boundaries
0,State,Commonwealth,All,25 to 34 years,2016,2016 Annual,88562,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
1,State,Commonwealth,All,0 to 14 years,2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
2,State,Commonwealth,All,0 to 14 years,2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
3,County,Union,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,60,60,42,119,40.96473131,-77.06415803,"{'type': 'Point', 'coordinates': [-77.06415803, 40.96473131]}",21,1979,72,296,49
4,County,Northampton,All,All (12 to 100 years),2020,2020 Annual,6159,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.754595404]}",38,1339,113,280,59
5,County,Pike,All,All (12 to 100 years),2017,2017 Annual,1212,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332571995]}",29,1997,109,169,62
6,County,Chester,All,All (12 to 100 years),2017,2017 Annual,9363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,15,15,42,029,39.974870557,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.974870557]}",32,2415,147,69,6
7,County,Greene,All,All (12 to 100 years),2020,2020 Annual,748,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.854803934]}",12,1570,1,481,37
8,County,Clarion,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.192791288]}",5,1081,24,46,7
9,County,Bucks,All,All (12 to 100 years),2019,2019 Annual,15484,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,9,09,42,017,40.335011331,-75.11291241,"{'type': 'Point', 'coordinates': [-75.11291241, 40.335011331]}",40,430,145,22,35
10,State,Commonwealth,All,All (12 to 100 years),2016,2016 Annual,295000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
