,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
0,Allegheny County,02,42,003,2017,2017,645900,615200,30700,4.8,40.46735543,-79.98619843,"{'type': 'Point', 'coordinates': [-79.98619843, 40.46735543]}",40,6,2158,163,324
1,Armstrong County,03,42,005,2018,2018,32100,30500,1600,5,40.81509526,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.81509526]}",41,15,834,11,106
2,Juniata County,34,42,067,2017,2017,12400,11800,600,4.6,40.53433008,-77.405775,"{'type': 'Point', 'coordinates': [-77.405775, 40.53433008]}",21,18,53,36,201
3,Adams County,01,42,001,2016,2017,55400,53200,2200,4,39.87209565,-77.22224271,"{'type': 'Point', 'coordinates': [-77.22224271, 39.87209565]}",39,19,1949,35,92
4,Cumberland County,21,42,041,2017,2017,130000,125000,5000,3.8,40.16759839,-77.26866271,"{'type': 'Point', 'coordinates': [-77.26866271, 40.16759839]}",17,20,2128,40,146
5,Lackawanna County,35,42,069,2018,2018,105300,100500,4800,4.6,41.43910064,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.43910064]}",22,34,1283,125,253
6,Northampton County,48,42,095,2017,2017,158700,150900,7800,4.9,40.7545954,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.7545954]}",59,38,1339,113,280
7,Berks County,06,42,011,2016,2017,213300,202700,10600,5,40.41939635,-75.93077327,"{'type': 'Point', 'coordinates': [-75.93077327, 40.41939635]}",45,27,191,46,435
8,Pike County,52,42,103,2017,2017,24800,23400,1500,5.9,41.332572,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332572]}",62,29,1997,109,169
9,Wyoming County,66,42,131,2018,2018,13700,13100,600,4.5,41.51892488,-76.01813003,"{'type': 'Point', 'coordinates': [-76.01813003, 41.51892488]}",11,29,2460,91,444
10,Cambria County,11,42,021,2016,2017,61400,57200,4200,6.8,40.49127491,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.49127491]}",2,16,1228,20,23
11,Somerset County,56,42,111,2016,2017,34200,31700,2500,7.2,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",66,1,799,30,428
12,Blair County,07,42,013,2018,2018,59600,57000,2500,4.2,40.48555024,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.48555024]}",46,17,294,28,268
13,Clinton County,18,42,035,2018,2018,18300,17400,1000,5.3,41.23286274,-77.6428376,"{'type': 'Point', 'coordinates': [-77.6428376, 41.23286274]}",9,14,1835,74,206
14,Lehigh County,39,42,077,2018,2018,190100,181400,8800,4.6,40.61464794,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.61464794]}",26,36,506,115,336
15,Pennsylvania,00,42,,2018,2018,6424000,6149000,276000,4.3,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
16,Mercer County,43,42,085,2016,2017,52500,49400,3100,6,41.30237777,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.30237777]}",54,3,1048,48,300
17,Erie County,25,42,049,2016,2017,133600,124900,8700,6.5,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",30,3,1153,52,163
18,Lebanon County,38,42,075,2016,2017,70600,67400,3200,4.5,40.367597,-76.46182575,"{'type': 'Point', 'coordinates': [-76.46182575, 40.367597]}",25,28,371,130,44
19,Fayette County,26,42,051,2016,2017,58500,53700,4700,8.1,39.9194478,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.9194478]}",31,1,435,8,204
20,Pike County,52,42,103,2016,2017,24900,23300,1600,6.4,41.332572,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332572]}",62,29,1997,109,169
21,Chester County,15,42,029,2016,2017,280400,269500,10900,3.9,39.97487056,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.97487056]}",6,32,2415,147,69
22,Northumberland County,49,42,097,2018,2018,43100,40800,2300,5.2,40.85150926,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.85150926]}",60,22,2094,73,375
23,Mercer County,43,42,085,2017,2017,51000,48200,2800,5.5,41.30237777,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.30237777]}",54,3,1048,48,300
24,Sullivan County,57,42,113,2017,2017,2800,2600,200,5.8,41.4480994,-76.5147922,"{'type': 'Point', 'coordinates': [-76.5147922, 41.4480994]}",67,21,1389,88,416
25,Union County,60,42,119,2018,2018,19600,18900,700,3.7,40.96473131,-77.06415803,"{'type': 'Point', 'coordinates': [-77.06415803, 40.96473131]}",49,21,1979,72,296
