,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
0,City of Johnstown Police Department,401 Main Street,Johnstown,PA,15901,Cambria,"{'latitude': '40.325844', 'longitude': '-78.919545', 'human_address': '{""address"": ""401 Main Street"", ""city"": ""Johnstown"", ""state"": ""PA"", ""zip"": ""15901""}'}","{'type': 'Point', 'coordinates': [-78.91955, 40.326162]}",40.326162,-78.91955,No,Active,16,2,13,339,208,21,,,,
1,Darby Township Police Department,2 Studevan Plaza,Sharon Hill,PA,19079,Delaware,,"{'type': 'Point', 'coordinates': [-75.2624898, 39.9042159]}",39.9042159,-75.2624898,No,Active,,,18,,,,(610)583-3245,M-F 8:30-4,Operational,
2,Morton Borough Police,500 Highland Ave,Morton,PA,19070,Delaware,"{'latitude': '39.910577', 'longitude': '-75.321816', 'human_address': '{""address"": ""500 Highland Ave"", ""city"": ""Morton"", ""state"": ""PA"", ""zip"": ""19070""}'}","{'type': 'Point', 'coordinates': [-75.322126, 39.91133]}",39.91133,-75.322126,No,Active,39,28,18,1957,412,62,,,,
3,State Police-Troop P / Tunkhannock,6039 SR,Tunkhannock,PA,18657-6148,Wyoming,,"{'type': 'Point', 'coordinates': [-75.954221, 41.541868]}",41.541868,-75.954221,No,Active,,,2,,,,,,,
4,Snyder County Sheriff's Office,12 South Main Street,Middleburg,PA,17842,Snyder,"{'latitude': '40.791394', 'longitude': '-77.045936', 'human_address': '{""address"": ""12 South Main Street"", ""city"": ""Middleburg"", ""state"": ""PA"", ""zip"": ""17842""}'}","{'type': 'Point', 'coordinates': [-77.0459697, 40.7914472]}",40.7914472,-77.0459697,Yes,Active,22,65,2,2200,254,72,(570)837-3311,M-F 8-4/ Tues and Thurs 7pm-9pm,Operational,"Sheriff Joseph S. Reigle, Jr."
5,Brecknock Twp. Police Department,889 Alleghenyville Road,Mohnton,PA,19540,Berks,"{'latitude': '40.221017', 'longitude': '-75.973054', 'human_address': '{""address"": ""889 Alleghenyville Road"", ""city"": ""Mohnton"", ""state"": ""PA"", ""zip"": ""19540""}'}","{'type': 'Point', 'coordinates': [-75.9736639, 40.2210285]}",40.2210285,-75.9736639,No,Active,31,45,14,677,179,118,(717)445-0656,Monday to Friday 9 am – 2 pm,Operational,Chief John Mintz
6,Walgreens Pharmacy (Philadelphia - Center city area),1 S BROAD ST,Philadelphia,PA,19107,Philadelphia,"{'latitude': '39.951111', 'longitude': '-75.163843', 'human_address': '{""address"": ""1 S BROAD ST"", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19107""}'}","{'type': 'Point', 'coordinates': [-75.163522, 39.951184]}",39.951184,-75.163522,No,Active,47,13,6,1069,365,190,(267) 330-0290,,Pharmacy,
7,Shamokin Police Dept.,511 North Franklin Street,Shamokin,PA,17872,Northumberland,"{'latitude': '40.791322', 'longitude': '-76.55031', 'human_address': '{""address"": ""511 North Franklin Street"", ""city"": ""Shamokin"", ""state"": ""PA"", ""zip"": ""17872""}'}","{'type': 'Point', 'coordinates': [-76.5502772, 40.7912678]}",40.7912678,-76.5502772,Yes,Active,22,60,1,1919,370,54,(570)648-5708,,Operational,Chief Edward Griffiths
8,Hughesville Borough Police Dept.,147 South Fifth Street,Hughesville,PA,17737,Lycoming,"{'latitude': '41.236086', 'longitude': '-76.721543', 'human_address': '{""address"": ""147 South Fifth Street"", ""city"": ""Hughesville"", ""state"": ""PA"", ""zip"": ""17737""}'}","{'type': 'Point', 'coordinates': [-76.7219432, 41.2355012]}",41.2355012,-76.7219432,Yes,Active,21,15,2,1260,148,75,(570)584-2111,Mon - Thurs. 8-4,Operational,OIC Rod Smith
9,TJ’s Market/Montgomery’s Pharmacy,49 N. Railroad St.,Hughesville,PA,17737,Lycoming,"{'latitude': '41.242861', 'longitude': '-76.724615', 'human_address': '{""address"": ""49 N. Railroad St."", ""city"": ""Hughesville"", ""state"": ""PA"", ""zip"": ""17737""}'}","{'type': 'Point', 'coordinates': [-76.724904, 41.243071]}",41.243071,-76.724904,No,Active,21,15,2,1260,148,75,570-584-2005,Monday – Saturday: 7 a.m. – 9 p.m. / Sunday: 8 a.m. – 5 p.m.,Pharmacy,
10,CareSite Pharmacy Belleville,"4752 SR 655, Suite A",Belleville,PA,17004,Mifflin,"{'latitude': '40.615775', 'longitude': '-77.700782', 'human_address': '{""address"": ""4752 SR 655, Suite A"", ""city"": ""Belleville"", ""state"": ""PA"", ""zip"": ""17004""}'}","{'type': 'Point', 'coordinates': [-77.700632, 40.615393]}",40.615393,-77.700632,No,Active,18,55,2,2559,295,71,717-935-2341,Monday - Friday: 8:30 a.m. – 5 p.m.,Pharmacy,
11,Montgomery’s Pharmacy,21 S. Main St.,Montgomery,PA,17752,Lycoming,"{'latitude': '41.170093', 'longitude': '-76.876636', 'human_address': '{""address"": ""21 S. Main St."", ""city"": ""Montgomery"", ""state"": ""PA"", ""zip"": ""17752""}'}","{'type': 'Point', 'coordinates': [-76.876592, 41.170107]}",41.170107,-76.876592,No,Active,21,15,2,716,331,76,,"Monday, Tuesday, Thursday: 9 am- 5 p.m./ Friday: 9 am- 6 pm / Saturday 9 a.m.- noon",Pharmacy,
12,Haverford Police Department,1010 Darby Rd.,Havertown,PA,19083,Delaware,"{'latitude': '39.97641', 'longitude': '-75.303272', 'human_address': '{""address"": ""1010 Darby Rd."", ""city"": ""Havertown"", ""state"": ""PA"", ""zip"": ""19083""}'}","{'type': 'Point', 'coordinates': [-75.304009, 39.975933]}",39.975933,-75.304009,No,Active,41,28,18,1604,260,175,,,,
13,WELLSPAN PHARMACY (LEBANON),252 S 4TH ST,LEBANON,PA,17042,Lebanon,"{'latitude': '40.335914', 'longitude': '-76.417336', 'human_address': '{""address"": ""252 S 4TH ST"", ""city"": ""LEBANON"", ""state"": ""PA"", ""zip"": ""17042""}'}","{'type': 'Point', 'coordinates': [-76.416175, 40.33597]}",40.33597,-76.416175,No,Active,28,25,1,203,310,151,,,Pharmacy,
14,Girard Police Department,34 Main St W,Girard,PA,16417,Erie,"{'latitude': '42.00057', 'longitude': '-80.317492', 'human_address': '{""address"": ""34 Main St W"", ""city"": ""Girard"", ""state"": ""PA"", ""zip"": ""16417""}'}","{'type': 'Point', 'coordinates': [-80.318009, 42.001299]}",42.001299,-80.318009,No,Active,4,30,11,1216,96,48,(814)774-2651,24 hours a day/ 7 days a week,Operational,
15,Shamokin Dam Police Dept.,42 W. 8th Avenue,Shamokin Dam,PA,17876,Snyder,"{'latitude': '40.853044', 'longitude': '-76.827133', 'human_address': '{""address"": ""42 W. 8th Avenue"", ""city"": ""Shamokin Dam"", ""state"": ""PA"", ""zip"": ""17876""}'}","{'type': 'Point', 'coordinates': [-76.8191473, 40.8483068]}",40.8483068,-76.8191473,Yes,Active,22,65,2,305,421,73,(570)743-2671,M-F 9-4:30,Operational,Chief Timothy E. Bremigen
16,"CVS PHARMACY, L.L.C. # 02255 (PHILADELPHIA)",2400 ARAMINGO AVENUE,PHILADELPHIA,PA,19125,Philadelphia,"{'latitude': '39.975357', 'longitude': '-75.121142', 'human_address': '{""address"": ""2400 ARAMINGO AVENUE"", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19125""}'}","{'type': 'Point', 'coordinates': [-75.120377, 39.976322]}",39.976322,-75.120377,No,Active,48,13,5,1069,365,184,,,Pharmacy,
17,North East Borough Police,31 W Main St,North East,PA,16428,Erie,"{'latitude': '42.21559', 'longitude': '-79.836155', 'human_address': '{""address"": ""31 W Main St"", ""city"": ""North East"", ""state"": ""PA"", ""zip"": ""16428""}'}","{'type': 'Point', 'coordinates': [-79.8361824, 42.2156027]}",42.2156027,-79.8361824,No,Active,4,30,11,546,320,52,(814)725-8611,Please contact location,Operational,
18,Mifflin County Sheriff's Office,20 North Wayne Street,Lewistown,PA,17044,Mifflin,"{'latitude': '40.597378', 'longitude': '-77.5767', 'human_address': '{""address"": ""20 North Wayne Street"", ""city"": ""Lewistown"", ""state"": ""PA"", ""zip"": ""17044""}'}","{'type': 'Point', 'coordinates': [-77.57647, 40.596773]}",40.596773,-77.57647,Yes,Active,18,55,2,674,295,36,(717)242-1105,,,Sheriff Christopher Shade
19,"CVS PHARMACY, L.L.C. # 00658 (WARMINSTER)",7 YORK ROAD,WARMINSTER,PA,18974,Bucks,"{'latitude': '40.190312', 'longitude': '-75.103023', 'human_address': '{""address"": ""7 YORK ROAD"", ""city"": ""WARMINSTER"", ""state"": ""PA"", ""zip"": ""18974""}'}","{'type': 'Point', 'coordinates': [-75.102271, 40.190283]}",40.190283,-75.102271,Yes,Active,42,35,4,1302,17,158,,,Pharmacy,
20,Abington Township Police Department,1168 Old York Road,Abington,PA,19001,Montgomery,"{'latitude': '40.116874', 'longitude': '-75.12057', 'human_address': '{""address"": ""1168 Old York Road"", ""city"": ""Abington"", ""state"": ""PA"", ""zip"": ""19001""}'}","{'type': 'Point', 'coordinates': [-75.1206113, 40.1168255]}",40.1168255,-75.1206113,No,Active,45,57,8,624,8,171,(267)536-1100,M-F 7am-8pm / Sat. 8 am-4 pm,Operational,Chief William J Kelly
21,Upper Burrell Township Police Dept.,3735 Seventh Street,New Kensington,PA,15068,Westmoreland,,"{'type': 'Point', 'coordinates': [-79.7308886, 40.5691527]}",40.5691527,-79.7308886,Yes,Active,,,9,,,,(724)335-0664,During regular busy hours or by appointment,Operational,Chief Kenneth Pate
