,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
1,186652,1,00100,90497,96155,1220,559,560
2,197530,1,00200,96818,100712,1077,460,1472
3,0,1,00300,0,0,0,0,0
4,123217,1,00400,60584,62633,479,398,690
5,127170,1,00500,62498,64672,832,189,419
6,152141,1,00600,74496,77645,937,705,393
7,107051,1,00700,52715,54336,459,264,732
8,147031,1,00800,73172,73859,578,313,1078
9,0,1,00901,0,0,0,0,0
10,0,1,00902,0,0,0,0,0
11,0,1,00903,0,0,0,0,0
12,0,1,00904,0,0,0,0,0
13,0,1,00905,0,0,0,0,0
14,157105,1,01000,76292,80813,588,358,1128
15,114559,1,01100,55195,59364,270,243,399
16,216069,1,01200,104509,111560,555,316,1835
17,0,1,01300,0,0,0,0,0
18,116519,1,01400,56955,59564,933,605,609
19,109555,1,01500,52720,56835,700,280,900
20,119151,1,01600,57567,61584,266,167,808
21,124206,1,01700,59479,64727,994,676,728
22,128931,1,01800,62582,66349,987,557,620
23,163142,1,01900,80321,82821,501,343,1418
24,194636,1,02000,91228,103408,962,245,2067
25,179205,1,02100,87136,92069,670,246,1593
26,133488,1,02200,65053,68435,977,345,552
27,122976,1,02300,59586,63390,931,460,472
28,144822,1,02400,70766,74056,866,342,1263
29,198121,1,02500,95875,102246,987,781,1142
30,218434,1,02600,106094,112340,1038,550,1481
31,134338,2,00101,68737,65601,390,59,1164
32,157459,2,00102,79287,78172,981,524,1701
33,166181,2,00200,86529,79652,946,421,647
34,167176,2,00300,89158,78018,296,213,907
35,111836,2,00400,60481,51355,296,593,614
36,176164,4,00101,86717,89447,819,787,756
37,150245,4,00102,74303,75942,674,505,645
38,117763,4,00103,59346,58417,691,473,545
39,113992,4,00104,54946,59046,541,436,686
40,143305,4,00105,70288,73017,747,713,755
41,116824,4,00106,57660,59164,450,249,717
42,116390,4,00107,56317,60073,662,317,288
43,114505,4,00108,55883,58622,474,178,924
44,122538,4,00109,66204,56334,235,191,536
45,138364,4,00110,69062,69302,427,170,722
46,118062,4,00111,56279,61783,428,238,461
47,130740,4,00112,64784,65956,446,291,281
48,108409,4,00113,53630,54779,459,287,377
49,114047,4,00114,57006,57041,353,451,636
50,111591,4,00115,53988,57603,412,505,812
51,115502,4,00116,57209,58293,286,264,556
52,107752,4,00117,54830,52922,397,319,776
53,118496,4,00118,61268,57228,637,444,459
54,121385,4,00119,60272,61113,956,1030,1091
55,113955,4,00120,56082,57873,406,178,378
56,152873,4,00121,76468,76405,976,1159,301
57,122323,4,00122,61521,60802,609,872,636
58,106613,4,00201,50878,55735,746,402,764
59,129387,4,00202,63983,65404,286,490,518
60,117107,4,00203,57236,59871,166,80,391
61,107037,4,00204,51222,55815,403,209,269
62,145379,4,00205,75985,69394,409,321,459
63,99254,4,00206,47126,52128,618,714,481
64,107207,4,00207,52810,54397,255,292,640
65,181907,4,00300,90593,91314,670,640,645
66,142228,4,00400,70664,71564,337,289,959
67,232349,4,00500,113637,118712,1369,1065,696
68,231998,4,00600,117311,114687,1153,620,1104
69,211949,4,00700,109171,102778,964,568,982
70,114077,4,00800,58680,55397,387,842,437
71,172821,4,00900,86765,86056,983,545,865
72,273485,5,00100,136115,137370,1141,453,2418
73,236443,5,00200,118753,117690,956,411,2049
74,155940,5,00300,77022,78918,865,748,854
75,135042,5,00400,67100,67942,860,619,843
76,193219,5,00500,94910,98309,929,366,2433
77,100192,5,00600,48434,51758,543,288,695
78,99894,5,00700,50759,49135,629,295,837
79,109969,5,00800,53800,56169,405,137,983
80,207642,5,00900,99618,108024,1500,564,1666
81,185392,5,01000,88016,97376,1060,826,1395
82,197705,5,01100,96537,101168,876,659,1960
83,121001,5,01200,59226,61775,703,383,1010
84,143163,5,01300,71166,71997,691,389,1590
85,190852,5,01400,93440,97412,837,352,743
86,99757,5,01500,49456,50301,721,486,717
87,164028,5,01600,80279,83749,787,353,966
88,96475,5,01700,47641,48834,640,253,662
89,99591,5,01800,49787,49804,394,177,983
90,98876,5,01900,47463,51413,633,341,920
91,0,6,00100,0,0,0,0,0
92,0,6,00200,0,0,0,0,0
93,189657,6,00300,98436,91221,999,426,895
94,0,6,00400,0,0,0,0,0
95,0,6,00500,0,0,0,0,0
96,0,6,00600,0,0,0,0,0
97,0,6,00700,0,0,0,0,0
98,0,6,00800,0,0,0,0,0
99,0,6,00900,0,0,0,0,0
100,0,6,01000,0,0,0,0,0
101,0,6,01101,0,0,0,0,0
102,0,6,01102,0,0,0,0,0
103,0,6,01103,0,0,0,0,0
104,0,6,01201,0,0,0,0,0
105,0,6,01202,0,0,0,0,0
106,123562,6,01301,61564,61998,610,424,1201
107,125481,6,01302,60166,65315,814,456,906
108,136031,6,01303,67028,69003,615,633,1431
109,0,6,01401,0,0,0,0,0
110,0,6,01402,0,0,0,0,0
111,0,6,01403,0,0,0,0,0
112,0,6,01501,0,0,0,0,0
113,0,6,01502,0,0,0,0,0
114,0,6,01503,0,0,0,0,0
115,0,6,01504,0,0,0,0,0
116,0,6,01505,0,0,0,0,0
117,0,6,01506,0,0,0,0,0
118,0,6,01601,0,0,0,0,0
119,0,6,01602,0,0,0,0,0
120,190163,6,01700,94603,95560,967,941,1101
121,0,6,01800,0,0,0,0,0
122,145843,6,01901,75892,69951,835,448,866
123,189862,6,01902,92323,97539,1244,931,992
124,0,6,02001,0,0,0,0,0
125,0,6,02002,0,0,0,0,0
126,0,6,02101,0,0,0,0,0
127,0,6,02102,0,0,0,0,0
128,0,6,02103,0,0,0,0,0
129,0,6,02104,0,0,0,0,0
130,0,6,02105,0,0,0,0,0
131,0,6,02106,0,0,0,0,0
132,0,6,02107,0,0,0,0,0
133,0,6,02108,0,0,0,0,0
134,0,6,02201,0,0,0,0,0
135,0,6,02202,0,0,0,0,0
136,0,6,02203,0,0,0,0,0
137,0,6,02204,0,0,0,0,0
138,0,6,02205,0,0,0,0,0
139,0,6,02206,0,0,0,0,0
140,0,6,02207,0,0,0,0,0
141,0,6,02301,0,0,0,0,0
142,0,6,02302,0,0,0,0,0
143,0,6,02303,0,0,0,0,0
144,0,6,02304,0,0,0,0,0
145,0,6,02305,0,0,0,0,0
146,0,6,02306,0,0,0,0,0
147,0,6,02401,0,0,0,0,0
148,0,6,02402,0,0,0,0,0
149,0,6,02403,0,0,0,0,0
150,0,6,02404,0,0,0,0,0
151,0,6,02405,0,0,0,0,0
152,0,6,02406,0,0,0,0,0
153,0,6,02407,0,0,0,0,0
154,0,6,02408,0,0,0,0,0
155,0,6,02409,0,0,0,0,0
156,0,6,02410,0,0,0,0,0
157,180714,6,02500,92526,88188,1608,984,972
158,0,6,02601,0,0,0,0,0
159,0,6,02602,0,0,0,0,0
160,0,6,02701,0,0,0,0,0
161,0,6,02702,0,0,0,0,0
162,0,6,02703,0,0,0,0,0
163,0,6,02704,0,0,0,0,0
164,0,6,02705,0,0,0,0,0
165,0,6,02706,0,0,0,0,0
166,0,6,02707,0,0,0,0,0
167,0,6,02708,0,0,0,0,0
168,0,6,02709,0,0,0,0,0
169,0,6,02710,0,0,0,0,0
170,0,6,02711,0,0,0,0,0
171,0,6,02712,0,0,0,0,0
172,0,6,02713,0,0,0,0,0
173,0,6,02714,0,0,0,0,0
174,0,6,02801,0,0,0,0,0
175,0,6,02802,0,0,0,0,0
176,0,6,02900,0,0,0,0,0
177,0,6,03001,0,0,0,0,0
178,0,6,03002,0,0,0,0,0
179,151055,6,03100,83283,67772,577,527,765
180,0,6,03200,0,0,0,0,0
181,0,6,03301,0,0,0,0,0
182,0,6,03302,0,0,0,0,0
183,0,6,03401,0,0,0,0,0
184,0,6,03402,0,0,0,0,0
185,0,6,03501,0,0,0,0,0
186,0,6,03502,0,0,0,0,0
187,0,6,03503,0,0,0,0,0
188,0,6,03600,0,0,0,0,0
189,139489,6,03701,71987,67502,789,437,734
190,192548,6,03702,96696,95852,739,538,848
191,0,6,03800,0,0,0,0,0
192,0,6,03901,0,0,0,0,0
193,0,6,03902,0,0,0,0,0
194,0,6,03903,0,0,0,0,0
195,0,6,04000,0,0,0,0,0
196,0,6,04100,0,0,0,0,0
197,0,6,04200,0,0,0,0,0
198,0,6,04300,0,0,0,0,0
199,0,6,04401,0,0,0,0,0
200,0,6,04402,0,0,0,0,0
201,0,6,04403,0,0,0,0,0
202,0,6,04404,0,0,0,0,0
203,0,6,04405,0,0,0,0,0
204,0,6,04406,0,0,0,0,0
205,0,6,04407,0,0,0,0,0
206,0,6,04500,0,0,0,0,0
207,0,6,04600,0,0,0,0,0
208,0,6,04700,0,0,0,0,0
209,0,6,04800,0,0,0,0,0
210,0,6,04900,0,0,0,0,0
211,0,6,05000,0,0,0,0,0
212,0,6,05100,0,0,0,0,0
213,0,6,05200,0,0,0,0,0
214,0,6,05300,0,0,0,0,0
215,0,6,05401,0,0,0,0,0
216,0,6,05402,0,0,0,0,0
217,0,6,05403,0,0,0,0,0
218,0,6,05404,0,0,0,0,0
219,0,6,05405,0,0,0,0,0
220,0,6,05406,0,0,0,0,0
221,0,6,05407,0,0,0,0,0
222,0,6,05408,0,0,0,0,0
223,0,6,05409,0,0,0,0,0
224,0,6,05410,0,0,0,0,0
225,0,6,05411,0,0,0,0,0
226,0,6,05412,0,0,0,0,0
227,0,6,05413,0,0,0,0,0
228,0,6,05414,0,0,0,0,0
229,0,6,05415,0,0,0,0,0
230,0,6,05416,0,0,0,0,0
231,0,6,05417,0,0,0,0,0
232,0,6,05418,0,0,0,0,0
233,0,6,05419,0,0,0,0,0
234,0,6,05420,0,0,0,0,0
235,0,6,05421,0,0,0,0,0
236,0,6,05422,0,0,0,0,0
237,0,6,05423,0,0,0,0,0
238,0,6,05424,0,0,0,0,0
239,138609,6,05500,69008,69601,666,412,753
240,0,6,05600,0,0,0,0,0
241,0,6,05701,0,0,0,0,0
242,0,6,05702,0,0,0,0,0
243,0,6,05703,0,0,0,0,0
244,0,6,05800,0,0,0,0,0
245,0,6,05900,0,0,0,0,0
246,0,6,06000,0,0,0,0,0
247,144807,6,06101,70647,74160,1116,698,782
248,130070,6,06102,63493,66577,313,305,820
249,116707,6,06103,57458,59249,750,419,470
250,0,6,06104,0,0,0,0,0
251,0,6,06105,0,0,0,0,0
252,0,6,06106,0,0,0,0,0
253,0,6,06107,0,0,0,0,0
254,0,6,06108,0,0,0,0,0
255,0,6,06109,0,0,0,0,0
256,0,6,06110,0,0,0,0,0
257,0,6,06111,0,0,0,0,0
258,0,6,06112,0,0,0,0,0
259,0,6,06113,0,0,0,0,0
260,0,6,06114,0,0,0,0,0
261,0,6,06115,0,0,0,0,0
262,0,6,06116,0,0,0,0,0
263,0,6,06117,0,0,0,0,0
264,0,6,06118,0,0,0,0,0
265,0,6,06119,0,0,0,0,0
266,0,6,06120,0,0,0,0,0
267,0,6,06121,0,0,0,0,0
268,0,6,06122,0,0,0,0,0
269,0,6,06123,0,0,0,0,0
270,0,6,06124,0,0,0,0,0
271,0,6,06125,0,0,0,0,0
272,0,6,06126,0,0,0,0,0
273,0,6,06200,0,0,0,0,0
274,0,6,06300,0,0,0,0,0
275,0,6,06400,0,0,0,0,0
276,0,6,06500,0,0,0,0,0
277,0,6,06601,0,0,0,0,0
278,0,6,06602,0,0,0,0,0
279,109745,6,06701,53176,56569,401,293,616
280,122147,6,06702,60020,62127,526,279,686
281,0,6,06801,0,0,0,0,0
282,0,6,06802,0,0,0,0,0
283,0,6,06900,0,0,0,0,0
284,0,6,07000,0,0,0,0,0
