,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
0,Delaware,2018,64,0.65625,0.703125,0.0001828933731634457,1.13230053915365,0.15212204635681223
1,Delaware,2019,39,0.717948717948718,0.6153846153846154,0.0009586760179625612,1.0100972210183243,0.12264351715410088
2,Delaware,2020,63,0.5555555555555556,0.5873015873015873,0.0013348494586443863,0.8924867291923096,0.09980252704207479
3,Delaware,2021,50,0.56,0.7,0.0025929127052722557,0.6362946839363418,0.06696733830793648
4,Chester,2018,209,0.8133971291866029,0.7511961722488039,0.0009363295880149813,0.8985073155031782,0.12042461541916084
5,Chester,2019,175,0.7257142857142858,0.8057142857142857,0.0005081300813008131,0.8054935415119018,0.09804830720809561
6,Chester,2020,148,0.7905405405405406,0.8445945945945946,0.002493526421789585,0.7281572304565944,0.08337900174531683
7,Chester,2021,75,0.49333333333333335,0.6533333333333333,0.002777076495834385,0.5359387158113669,0.058860795347835844
8,Beaver,2018,54,0.6851851851851852,0.8148148148148148,0.0,1.6134204440745477,0.18631138721279314
9,Beaver,2019,43,0.6511627906976745,0.6744186046511628,0.0,1.3996091906191481,0.13900847130160807
10,Beaver,2020,32,0.71875,0.78125,0.0014684287812041115,1.2503125761674048,0.11283926662984871
11,Beaver,2021,23,0.6086956521739131,0.5652173913043478,0.0,0.9011342476949142,0.07606113217684511
12,Bucks,2018,569,0.7398945518453427,0.804920913884007,0.0,1.1418646545137332,0.16599251706782897
13,Bucks,2019,453,0.6821192052980133,0.8278145695364238,0.0021231422505307855,1.0335280060878091,0.13671700657965968
14,Bucks,2020,267,0.700374531835206,0.8014981273408239,0.007196029776674938,0.9535165141105396,0.1214156319737587
15,Bucks,2021,136,0.6470588235294118,0.875,0.010717230008244023,0.7069296318638657,0.08489987672547322
16,Philadelphia,2018,41,0.9512195121951219,0.926829268292683,0.0007745333436604446,1.0811041048212462,0.16264725523242654
17,Philadelphia,2019,40,0.9,0.95,0.0013758821179707958,0.9388148437738691,0.12225979971280654
18,Philadelphia,2020,28,0.75,0.8571428571428571,0.0037194473963868225,0.7989729872296806,0.0995364853857689
19,Philadelphia,2021,156,0.1858974358974359,0.1794871794871795,0.005681818181818182,0.5661847587749572,0.06870899820899527
20,Washington,2018,67,0.6268656716417911,0.746268656716418,0.0,1.5747786710230287,0.17304419892141829
21,Washington,2019,78,0.5641025641025641,0.6666666666666666,0.0003945810864132579,1.4400917606484867,0.13848014559419916
22,Washington,2020,78,0.5641025641025641,0.6794871794871795,0.0007589172780166962,1.366384697323608,0.11608128568457457
23,Washington,2021,72,0.5972222222222222,0.6388888888888888,0.0003528166529460191,0.9771473401162653,0.07898522536310658
24,Cumberland,2018,67,0.6716417910447762,0.746268656716418,0.0015360983102918587,1.0517793647796077,0.12127275319980421
25,Cumberland,2019,107,0.7383177570093458,0.8037383177570093,0.0021382751247327157,0.949341771078626,0.09783723681827115
26,Cumberland,2020,117,0.7264957264957265,0.7948717948717948,0.002347417840375587,0.8660862762025522,0.08325928466629925
27,Cumberland,2021,81,0.691358024691358,0.7654320987654321,0.0037359900373599006,0.636598967572234,0.05583351044695513
28,Northumberland,2018,37,0.8108108108108109,0.7837837837837838,0.0,1.643608083188757,0.18148231802459439
29,Northumberland,2021,31,0.8709677419354839,0.8387096774193549,0.0084985835694051,0.937354884949862,0.08515131535198096
30,Northumberland,2019,34,0.8235294117647058,0.7647058823529411,0.0002628811777076761,1.4402800964570581,0.14537398932861959
31,Northumberland,2020,30,0.7666666666666667,0.9,0.003115264797507788,1.3423016574465068,0.1299673326563881
32,Montgomery,2018,134,0.6417910447761194,0.753731343283582,0.00021734405564007825,1.0666411302044356,0.12899540367029244
33,Montgomery,2019,111,0.5585585585585585,0.6216216216216216,0.0008240626287597857,0.9589278772008271,0.10378340861569571
